codigo_aeronave;codigo_ocorrencia;matricula;codigo_operador;equipamento;fabricante;modelo;tipo_motor;quantidade_motores;peso_maximo_decolagem;quantidade_assentos;ano_fabricacao;pais_registro;categoria_registro;categoria_aviacao;origem_voo;destino_voo;fase_operacao;tipo_operacao;nivel_dano;quantidade_fatalidades;dia_extracao
9082;26562;PRBRC;1034;AVI«O;BOEING COMPANY;737-46B;JATO;2;68039;179;1991;BRASIL;TPR;REGULAR;SBGL;SBSP;INDETERMINADA;REGULAR;***;0;30/07/2016
9089;26609;PRALF;2307;AVI«O;AIR TRACTOR;AT-401;PIST«O;1;2722;1;1991;BRASIL;SAE-AG;AGR÷COLA;****;****;OUTRA FASE;AGR÷COLA;DESTRU÷DA;1;30/07/2016
9090;26610;PTBSI;3992;AVI«O;BEECH AIRCRAFT;P35;PIST«O;1;1418;4;1962;BRASIL;TPP;PARTICULAR;****;****;RETA FINAL;PRIVADA;DESTRU÷DA;2;30/07/2016
9091;29976;PRAAC;1648;AVI«O;CESSNA AIRCRAFT;208B;TURBOêLICE;1;3969;11;2001;BRASIL;ADF;ADMINISTRAÄ«O DIRETA;****;****;MANOBRA;POLICIAL;NENHUM;0;30/07/2016
9092;26619;PPMOF;4705;HELIC‡PTERO;ROBINSON HELICOPTER;R44;TURBOEIXO;1;1088;4;2000;BRASIL;SAE;ESPECIALIZADA;SDWS;SJDO;DECOLAGEM;ESPECIALIZADA;SUBSTANCIAL;2;30/07/2016
9092;45392;PPMOF;3992;HELIC‡PTERO;ROBINSON HELICOPTER;R44;TURBOEIXO;1;1088;4;2000;BRASIL;TPP;PARTICULAR;SBBR;SBGO;DECOLAGEM;PRIVADA;SUBSTANCIAL;0;30/07/2016
9093;26620;PTFSE;3992;AVI«O;LET AIRCRAFT INDUSTRIES;L410UVP-E20;TURBOêLICE;2;6600;21;1991;BRASIL;TPP;PARTICULAR;SBME;SBRJ;CRUZEIRO;PRIVADA;DESTRU÷DA;19;30/07/2016
9094;26621;PTGSA;4923;AVI«O;NEIVA INDUSTRIA AERONAUTICA;EMB-201A;PIST«O;1;1800;1;0;BRASIL;SAE-AG;AGR÷COLA;****;****;ESPECIALIZADA;AGR÷COLA;SUBSTANCIAL;1;30/07/2016
9097;26642;PPMAK;3992;HELIC‡PTERO;ROBINSON HELICOPTER;R22 BETA;PIST«O;1;621;2;1993;BRASIL;TPP;PARTICULAR;SBLJ;****;INDETERMINADA;PRIVADA;DESTRU÷DA;1;30/07/2016
9103;26719;PTHOQ;4138;HELIC‡PTERO;BELL HELICOPTER;206B;TURBOEIXO;1;1450;5;1981;BRASIL;TPX;TµXI AêREO;SBMT;****;NAVEGAÄ«O A BAIXA ALTURA;TµXI AêREO;DESTRU÷DA;3;30/07/2016
9107;26723;PPGIE;183;AVI«O;AERO BOERO;AB-115;PIST«O;1;770;2;1992;BRASIL;PRI;INSTRUÄ«O;****;****;INDETERMINADA;INSTRUÄ«O;***;0;30/07/2016
9108;29860;PTMFK;3980;AVI«O;AEROSPATIALE AND ALENIA;ATR-42-300;TURBOêLICE;2;16700;50;1990;BRASIL;TPR;REGULAR;SBAU;SBAE;POUSO;REGULAR;SUBSTANCIAL;0;30/07/2016
9111;26759;PTKEZ;3992;AVI«O;BEECH AIRCRAFT;V35B;PIST«O;1;1542;6;1974;BRASIL;TPP;PARTICULAR;SIKG;****;INDETERMINADA;PRIVADA;DESTRU÷DA;4;30/07/2016
